month,production_mt,export_mt,export_value_lkr_mn,fob_rs_kg,avg_auction_price_rs_kg,import_mt
2021-08,23700.09,201341.85,179108.89,889.58,616.97,4690.27
2021-09,22564.02,22620.03,19760.49,873.58,614.20,
2021-10,23996.93,23590.36,20944.95,887.86,613.65,
2021-11,20003.50,24933.06,22433.98,899.77,614.46,
2021-12,20523.59,23318.71,21021.90,901.50,615.44,
2022-01,22817.21,18774.11,17353.97,924.36,704.67,
2022-02,18163.46,20527.45,19451.03,947.56,715.47,
2022-03,22015.89,22351.68,22948.21,1026.69,763.83,
2022-04,22909.59,17680.34,24340.21,1376.68,871.02,
2022-05,26039.29,19027.83,31953.34,1679.29,987.00,
2022-06,20148.76,23558.19,41923.29,1780.00,1028.81,
2022-07,19860.88,22756.47,42412.03,1864.00,1081.93,
2022-08,18276.89,23009.51,44910.44,1951.82,1137.03,
2022-09,20963.34,21544.90,42694.03,1981.63,1177.51,
2022-10,18751.56,19002.11,39476.04,2077.46,1204.01,
2022-11,20244.91,18541.93,36336.53,1959.70,1220.90,
2022-12,19501.40,,,,1234.24,
2023-01,19137.52,,,,1466.76,
2023-02,18715.25,,,,1454.84,
2023-03,21336.27,,,,1395.56,
2023-04,24728.73,,,,1367.81,
2023-05,26524.50,19275.98,33442.39,1735.00,1283.34,
2023-06,22997.33,21414.18,33598.19,1568.97,1226.08,
2023-07,21375.14,22771.10,36782.37,1615.31,1194.42,
2023-08,18251.93,23332.14,38471.30,1648.85,1182.03,
2023-09,18723.51,23165.49,38718.59,1671.39,1180.52,
2023-10,22852.24,18211.60,31055.09,1705.24,,